epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.7152,1.40115,3.34375,1.82932,0.00346,1,0.05318,0.018,1.48194,4.27634,2.45467,3.75e-05,3.75e-05,3.75e-05
2,44.6942,1.29738,3.30502,1.77048,0.00385,1,0.09174,0.05242,1.01779,4.1292,1.89762,8.57675e-05,8.57675e-05,8.57675e-05
3,66.8427,1.18931,3.19979,1.55224,0.00437,1,0.1957,0.1297,0.77803,3.96128,1.61118,0.000132055,0.000132055,0.000132055
4,89.1557,1.15275,3.07513,1.62714,0.00458,1,0.3127,0.20701,0.84691,3.96966,1.61343,0.000176362,0.000176362,0.000176362
5,111.601,0.99558,2.81638,1.43674,0.00429,1,0.31609,0.19847,0.94262,3.9357,1.74779,0.00021869,0.00021869,0.00021869
6,135.056,0.85541,2.69803,1.43378,0.00395,1,0.3108,0.18062,0.94186,3.88593,1.7374,0.000259038,0.000259038,0.000259038
7,157.973,0.91925,2.63368,1.46541,0.00372,1,0.3708,0.21802,0.93178,3.83989,1.74259,0.000297405,0.000297405,0.000297405
8,181.341,0.9053,2.37618,1.34065,0.00362,1,0.34198,0.22467,0.91978,3.80712,1.71963,0.000333792,0.000333792,0.000333792
9,204.617,0.85136,2.3331,1.3244,0.00374,1,0.32383,0.21502,0.856,3.7492,1.61291,0.0003682,0.0003682,0.0003682
10,226.945,0.91735,2.43615,1.47629,0.18418,0.375,0.35272,0.23915,0.99657,3.5849,1.68803,0.000400628,0.000400628,0.000400628
11,249.379,0.86614,2.13378,1.30618,0.51601,0.30357,0.38093,0.23831,1.18448,3.37579,1.88368,0.000431075,0.000431075,0.000431075
12,273.432,0.91194,2.14856,1.38602,0.26488,0.43785,0.39903,0.18018,1.39639,3.61408,2.10846,0.000459543,0.000459543,0.000459543
13,298.158,0.92456,1.80459,1.34616,0.46046,0.36429,0.42286,0.24292,1.19703,3.21388,1.95635,0.00048603,0.00048603,0.00048603
14,323.12,0.829,1.8925,1.28612,0.29255,0.61964,0.48826,0.24828,1.26177,3.21909,2.11114,0.000510537,0.000510537,0.000510537
15,348.499,0.74813,2.05453,1.22506,0.5116,0.66786,0.55794,0.23802,1.52976,3.17083,2.47341,0.000533065,0.000533065,0.000533065
16,373.463,1.06623,2.18676,1.58013,0.47129,0.70357,0.55941,0.25551,1.43567,3.0885,2.26485,0.000553613,0.000553613,0.000553613
17,398.385,0.87467,1.74996,1.32135,0.54673,0.64243,0.58058,0.31096,1.27426,2.95071,2.1162,0.00057218,0.00057218,0.00057218
18,426.156,0.84005,1.78689,1.29094,0.31751,0.74869,0.46126,0.2934,1.21657,3.23179,2.05714,0.000588767,0.000588767,0.000588767
19,451.072,0.99651,1.95071,1.4666,0.36852,0.73615,0.53278,0.34731,1.24449,3.42508,2.04311,0.000603375,0.000603375,0.000603375
20,475.762,0.90192,1.73982,1.36532,0.3528,0.65893,0.54372,0.34399,1.26563,3.39448,2.06698,0.000616003,0.000616003,0.000616003
21,500.878,0.82735,1.51374,1.29982,0.52274,0.52562,0.49586,0.24994,1.44457,4.59149,2.35782,0.00062665,0.00062665,0.00062665
22,525.147,0.84832,1.66195,1.27803,0.58409,0.49464,0.52764,0.28736,1.2921,4.49784,2.1586,0.000635318,0.000635318,0.000635318
23,598.656,0.91205,1.61541,1.36567,0.25458,0.49464,0.55285,0.3021,1.30329,4.11197,2.22527,0.000642005,0.000642005,0.000642005
24,619.461,0.75503,1.4852,1.25563,0.41949,0.70055,0.6043,0.3032,1.30881,3.78585,2.40183,0.000646713,0.000646713,0.000646713
25,640.204,0.86171,1.40522,1.32956,0.50057,0.74698,0.64787,0.38271,1.22689,3.95171,2.23894,0.00064944,0.00064944,0.00064944
26,661.961,0.76496,1.40574,1.23847,0.56899,0.51964,0.56865,0.36688,1.14748,3.21097,2.10557,0.00063125,0.00063125,0.00063125
27,683.946,0.78654,1.36486,1.22899,0.79366,0.34758,0.531,0.33394,1.16447,2.98059,2.09548,0.0006065,0.0006065,0.0006065
28,706.75,0.78055,1.45173,1.23893,0.64253,0.3258,0.51782,0.31974,1.22996,2.8654,2.17587,0.00058175,0.00058175,0.00058175
29,731.126,0.88024,1.57427,1.23933,0.43225,0.59994,0.52944,0.33115,1.24696,2.89891,2.18628,0.000557,0.000557,0.000557
30,757.85,0.68961,1.34917,1.15338,0.79077,0.3339,0.58629,0.4055,1.20015,2.94143,2.12792,0.00053225,0.00053225,0.00053225
31,786.426,0.89835,1.44901,1.3351,0.42054,0.67624,0.59751,0.41477,1.18247,2.85803,2.12333,0.0005075,0.0005075,0.0005075
32,890.941,0.76523,1.39787,1.24799,0.46564,0.77559,0.63575,0.42724,1.15468,2.73656,2.02545,0.00048275,0.00048275,0.00048275
33,911.536,0.79951,1.31795,1.2722,0.52494,0.65714,0.65162,0.46616,1.02156,2.69366,1.80536,0.000458,0.000458,0.000458
34,932.666,0.8923,1.32344,1.38412,0.62124,0.55488,0.62898,0.49151,0.8709,2.75498,1.68447,0.00043325,0.00043325,0.00043325
35,954.362,0.65819,1.72982,1.23998,0.71197,0.51905,0.64197,0.48017,0.83871,2.85773,1.64075,0.0004085,0.0004085,0.0004085
36,977.014,0.63405,1.36246,1.12708,0.72479,0.49235,0.6645,0.48389,0.8797,2.75567,1.63942,0.00038375,0.00038375,0.00038375
37,1001.84,0.70215,1.23224,1.16925,0.66646,0.49779,0.69455,0.52456,0.90486,2.64891,1.65769,0.000359,0.000359,0.000359
38,1029.94,0.6969,1.2262,1.15711,0.57107,0.69854,0.69984,0.54258,0.9119,2.47996,1.64801,0.00033425,0.00033425,0.00033425
39,1061.52,0.66922,1.25175,1.15351,0.66725,0.68581,0.7185,0.55383,0.91363,2.39447,1.63007,0.0003095,0.0003095,0.0003095
40,1181.74,0.59223,1.15007,1.10537,0.5784,0.71534,0.70444,0.54248,0.96098,2.36394,1.6678,0.00028475,0.00028475,0.00028475
41,1201.66,0.60666,1.88971,1.28037,0.62515,0.6375,0.71679,0.56672,0.92372,2.33767,1.63968,0.00026,0.00026,0.00026
42,1221.84,0.59621,1.86674,1.25228,0.6247,0.66429,0.72108,0.54928,0.92203,2.44195,1.66284,0.00023525,0.00023525,0.00023525
43,1242.1,0.61546,1.88385,1.27047,0.76173,0.60369,0.71981,0.52317,1.03253,2.52696,1.84498,0.0002105,0.0002105,0.0002105
44,1263.65,0.58497,2.20027,1.2456,0.79719,0.55147,0.73432,0.49372,1.12468,2.62786,1.99611,0.00018575,0.00018575,0.00018575
45,1287.26,0.59084,1.84952,1.20429,0.80365,0.55179,0.72097,0.4964,1.16231,2.63614,2.03288,0.000161,0.000161,0.000161
46,1314.14,0.54771,1.74626,1.19953,0.60411,0.69178,0.75253,0.50911,1.18224,2.61629,2.05071,0.00013625,0.00013625,0.00013625
47,1344.22,0.48615,1.70593,1.16174,0.69951,0.6766,0.77226,0.51862,1.17828,2.57067,2.0344,0.0001115,0.0001115,0.0001115
48,1606.25,0.53672,1.57528,1.1377,0.69128,0.73421,0.79529,0.535,1.13626,2.5137,1.96452,8.675e-05,8.675e-05,8.675e-05
49,1627.04,0.63678,1.98564,1.20727,0.67242,0.74182,0.79786,0.54688,1.11503,2.47171,1.91184,6.2e-05,6.2e-05,6.2e-05
50,1647.78,0.43272,1.48749,1.05486,0.73118,0.66944,0.79145,0.55038,1.08271,2.46446,1.86282,3.725e-05,3.725e-05,3.725e-05
