Image Name,class_id,x_center,y_center,width,height
1.png,4,0.6189358372456970,0.6533477321814260,0.39593114241001600,0.67170626349892
10.png,4,0.5026007802340700,0.9816326530612250,0.0,0.0
10.png,4,0.3644343302990900,0.6035714285714290,0.2789336801040310,0.7479591836734690
100.png,4,0.7406287787182590,0.5805946791862290,0.3639661426844020,0.7949921752738660
101.png,4,0.2766323024054980,0.5451713395638630,0.2943871706758310,0.9018691588785050
102.png,4,0.8134796238244510,0.7077645051194540,0.3542319749216300,0.5281569965870310
103.png,4,0.1775990099009900,0.5784839203675350,0.28217821782178200,0.7664624808575800
105.png,4,0.4763205828779600,0.4937185929648240,0.8597449908925320,0.9087102177554440
106.png,4,0.2946768060836500,0.579296875,0.4892268694550060,0.72265625
107.png,4,0.6212273641851110,0.4956828885400310,0.6287726358148890,0.9709576138147570
108.jpg,4,0.20991666666666700,0.597375,0.3845,0.72525
109.jpg,4,0.7423265124555160,0.47921225382932200,0.2208629893238430,0.7986870897155360
110.jpg,4,0.45636035313001600,0.5636574074074070,0.09008828250401280,0.26157407407407400
111.jpg,4,0.456640625,0.4609286523216310,0.44296875,0.7565118912797280
113.jpg,4,0.47342026078234700,0.495703125,0.7021063189568710,0.84765625
114.jpg,4,0.3109375,0.7221354166666670,0.1046875,0.13072916666666700
115.jpg,4,0.4324581430745810,0.6873497596153850,0.20205479452054800,0.4143629807692310
116.jpg,4,0.3927893738140420,0.6258697027197980,0.21821631878557900,0.42947501581277700
117.jpg,4,0.5405959540732640,0.5741743367623170,0.6908146528157460,0.8274679660711060
118.jpg,4,0.665957035029998,0.5493468795355590,0.2825624153280430,0.5094339622641510
119.jpg,4,0.28191489361702100,0.4469950993035850,0.13185041908446200,0.1145215372710860
119.jpg,4,0.8083494519664730,0.7066030435904050,0.0609284332688588,0.18184163012638600
12.png,4,0.6209077380952380,0.5041237113402060,0.43080357142857100,0.9402061855670100
120.jpg,4,0.2702550637659420,0.7141356542617050,0.11515378844711200,0.1875750300120050
120.jpg,4,0.746436609152288,0.8118247298919570,0.23405851462865700,0.24969987995198100
121.jpg,4,0.4846153846153850,0.4732812969078360,0.1722326454033770,0.2566796757730410
122.jpg,4,0.4148889856334350,0.5677464298153950,0.09490639965171960,0.1602229188436090
122.jpg,4,0.2725293861558560,0.38174851967955400,0.10187200696560700,0.12748171368861000
123.jpg,4,0.3439601494396020,0.6861443116423200,0.10809464508094600,0.3346613545816730
124.jpg,4,0.3085878818227340,0.4485981308411220,0.08637956935403100,0.42456608811749000
125.jpg,4,0.48097757621567100,0.6309896999552170,0.1017888636936260,0.3600537393640840
126.jpg,4,0.42652195608782400,0.6407982261640800,0.14645708582834300,0.4203991130820400
127.jpg,4,0.5562065972222220,0.6633391203703700,0.13802083333333300,0.23697916666666700
128.jpg,4,0.5242091049382720,0.49985532407407400,0.35011574074074100,0.5940393518518520
