ImageName	class_id	x_center	y_center	width	height
10_0.jpeg	0	0.691156	0.443099	0.595918	0.799031
11_0.png	0	0.592018	0.476415	0.401330	0.866577
12_0.jpeg	0	0.482622	0.618667	0.781991	0.533333
13_0.jpeg	0	0.485054	0.544927	0.953804	0.567848
14_0.jpeg	0	0.347619	0.492857	0.621769	0.953061
15_0.jpeg	0	0.577994	0.586705	0.688022	0.765483
16_0.jpeg	0	0.506793	0.685539	0.790761	0.508034
1_0.jpeg	0	0.646060	0.480824	0.468750	0.930398
2_0.jpeg	0	0.597357	0.530410	0.746871	0.859972
3_0.jpeg	0	0.487382	0.500917	0.867508	0.950459
4_0.jpeg	0	0.453804	0.507561	0.796196	0.935728
5_0.jpeg	0	0.344444	0.602694	0.463889	0.292929
6_0.jpeg	0	0.459239	0.631116	0.855978	0.676606
7_0.jpeg	0	0.470109	0.555810	0.845109	0.807339
8_0.jpeg	0	0.619565	0.497159	0.426630	0.967803
9_0.jpeg	0	0.440972	0.531026	0.651389	0.899761
10_1.png	1	0.572848	0.541841	0.649007	0.870293
11_1.png	1	0.493750	0.506818	0.922500	0.836364
12_1.png	1	0.415529	0.500929	0.779863	0.879182
13_1.png	1	0.416667	0.497359	0.717687	0.959507
14_1.png	1	0.421533	0.506272	0.711679	0.965950
15_1.png	1	0.460177	0.525815	0.619469	0.910326
16_1.png	1	0.523723	0.504967	0.806569	0.903974
17_1.png	1	0.471374	0.465361	0.843511	0.864458
18_1.png	1	0.476852	0.507709	0.898148	0.918502
19_1.png	1	0.449749	0.506162	0.738693	0.938380
1_1.png	1	0.488462	0.493316	0.906154	0.940285
20_1.png	1	0.407609	0.522814	0.671739	0.882129
2_1.png	1	0.455466	0.507056	0.854251	0.929435
3_1.png	1	0.498252	0.551136	0.716783	0.761364
4_1.png	1	0.523810	0.497354	0.825397	0.910053
5_1.png	1	0.455128	0.512673	0.826923	0.859447
6_1.png	1	0.551402	0.529412	0.649533	0.886878
7_1.png	1	0.516667	0.498408	0.907407	0.945860
8_1.png	1	0.469643	0.490351	0.853571	0.963158
9_1.png	1	0.507246	0.509091	0.937198	0.860606
10_2.jpeg	2	0.489000	0.502137	0.814000	0.961538
11_2.jpeg	2	0.475373	0.506283	0.846269	0.966492
12_2.jpeg	2	0.461957	0.508178	0.809783	0.953271
13_2.jpeg	2	0.483871	0.485929	0.896774	0.949343
14_2.jpeg	2	0.426267	0.506000	0.838710	0.956000
15_2.jpeg	2	0.653000	0.489130	0.562000	0.903727
16_2.jpeg	2	0.595000	0.489322	0.770000	0.895729
18_2.jpeg	2	0.494726	0.490845	0.934599	0.936620
1_2.jpeg	2	0.514167	0.509444	0.758333	0.941111
2_2.jpeg	2	0.472147	0.499094	0.737772	0.942029
3_2.jpeg	2	0.709167	0.508750	0.445000	0.927500
4_2.png	2	0.457682	0.438477	0.342448	0.769531
5_2.jpeg	2	0.468071	0.514579	0.862772	0.910367
6_2.jpeg	2	0.666898	0.483398	0.533241	0.892578
7_2.jpeg	2	0.700408	0.205275	0.365489	0.283639
8_2.jpeg	2	0.552310	0.547401	0.585598	0.828746
9_2.jpeg	2	0.547554	0.168578	0.429348	0.309633
10_3.png	3	0.509677	0.495928	0.896774	0.959283
11_3.png	3	0.495810	0.498512	0.907821	0.982143
12_3.png	3	0.490591	0.515625	0.862903	0.918750
13_3.png	3	0.577174	0.516456	0.736957	0.941772
14_3.png	3	0.406579	0.501348	0.607895	0.975741
15_3.png	3	0.441315	0.505338	0.779343	0.946619
16_3.png	3	0.459779	0.512997	0.865931	0.934251
17_3.png	3	0.502558	0.527597	0.913043	0.892857
18_3.png	3	0.466368	0.496819	0.802691	0.975827
19_3.png	3	0.436667	0.494373	0.857333	0.924437
1_3.png	3	0.474868	0.492248	0.875661	0.930233
20_3.png	3	0.455665	0.487179	0.837438	0.951923
2_3.png	3	0.515306	0.488550	0.831633	0.912214
3_3.png	3	0.493655	0.478938	0.850254	0.957875
4_3.png	3	0.504525	0.484875	0.873303	0.966192
5_3.png	3	0.507067	0.500000	0.968198	0.951128
6_3.png	3	0.460938	0.506993	0.810764	0.954545
7_3.png	3	0.506410	0.495471	0.910256	0.954710
8_3.png	3	0.426108	0.496390	0.704433	0.963899
9_3.png	3	0.508152	0.536036	0.871377	0.909910



