ImageName	class_id	x_center	y_center	width	height
10_1.png	1	0.572848	0.541841	0.649007	0.870293
11_1.png	1	0.493750	0.506818	0.922500	0.836364
12_1.png	1	0.415529	0.500929	0.779863	0.879182
13_1.png	1	0.416667	0.497359	0.717687	0.959507
14_1.png	1	0.421533	0.506272	0.711679	0.965950
15_1.png	1	0.460177	0.525815	0.619469	0.910326
16_1.png	1	0.523723	0.504967	0.806569	0.903974
17_1.png	1	0.471374	0.465361	0.843511	0.864458
18_1.png	1	0.476852	0.507709	0.898148	0.918502
19_1.png	1	0.449749	0.506162	0.738693	0.938380
1_1.png	1	0.488462	0.493316	0.906154	0.940285
20_1.png	1	0.407609	0.522814	0.671739	0.882129
2_1.png	1	0.455466	0.507056	0.854251	0.929435
3_1.png	1	0.498252	0.551136	0.716783	0.761364
4_1.png	1	0.523810	0.497354	0.825397	0.910053
5_1.png	1	0.455128	0.512673	0.826923	0.859447
6_1.png	1	0.551402	0.529412	0.649533	0.886878
7_1.png	1	0.516667	0.498408	0.907407	0.945860
8_1.png	1	0.469643	0.490351	0.853571	0.963158
9_1.png	1	0.507246	0.509091	0.937198	0.860606
