ImageName	class_id	x_center	y_center	width	height
10_2.jpeg	2	0.489000	0.502137	0.814000	0.961538
11_2.jpeg	2	0.475373	0.506283	0.846269	0.966492
12_2.jpeg	2	0.461957	0.508178	0.809783	0.953271
13_2.jpeg	2	0.483871	0.485929	0.896774	0.949343
14_2.jpeg	2	0.426267	0.506000	0.838710	0.956000
15_2.jpeg	2	0.653000	0.489130	0.562000	0.903727
16_2.jpeg	2	0.595000	0.489322	0.770000	0.895729
18_2.jpeg	2	0.494726	0.490845	0.934599	0.936620
1_2.jpeg	2	0.514167	0.509444	0.758333	0.941111
2_2.jpeg	2	0.472147	0.499094	0.737772	0.942029
3_2.jpeg	2	0.709167	0.508750	0.445000	0.927500
4_2.png	2	0.457682	0.438477	0.342448	0.769531
5_2.jpeg	2	0.468071	0.514579	0.862772	0.910367
6_2.jpeg	2	0.666898	0.483398	0.533241	0.892578
7_2.jpeg	2	0.700408	0.205275	0.365489	0.283639
8_2.jpeg	2	0.552310	0.547401	0.585598	0.828746
9_2.jpeg	2	0.547554	0.168578	0.429348	0.309633
