ImageName	class_id	x_center	y_center	width	height
10_3.png	3	0.509677	0.495928	0.896774	0.959283
11_3.png	3	0.495810	0.498512	0.907821	0.982143
12_3.png	3	0.490591	0.515625	0.862903	0.918750
13_3.png	3	0.577174	0.516456	0.736957	0.941772
14_3.png	3	0.406579	0.501348	0.607895	0.975741
15_3.png	3	0.441315	0.505338	0.779343	0.946619
16_3.png	3	0.459779	0.512997	0.865931	0.934251
17_3.png	3	0.502558	0.527597	0.913043	0.892857
18_3.png	3	0.466368	0.496819	0.802691	0.975827
19_3.png	3	0.436667	0.494373	0.857333	0.924437
1_3.png	3	0.474868	0.492248	0.875661	0.930233
20_3.png	3	0.455665	0.487179	0.837438	0.951923
2_3.png	3	0.515306	0.488550	0.831633	0.912214
3_3.png	3	0.493655	0.478938	0.850254	0.957875
4_3.png	3	0.504525	0.484875	0.873303	0.966192
5_3.png	3	0.507067	0.500000	0.968198	0.951128
6_3.png	3	0.460938	0.506993	0.810764	0.954545
7_3.png	3	0.506410	0.495471	0.910256	0.954710
8_3.png	3	0.426108	0.496390	0.704433	0.963899
9_3.png	3	0.508152	0.536036	0.871377	0.909910
